Road_Type,Weather,Visibility_km,Road_Surface,Light_Condition,Vehicle_Speed,Traffic_Density,Vehicle_Type,Driver_Age,Driver_Experience,Alcohol_Consumption,Seat_Belt,Time_of_Day,Day_of_Week,Area_Type,Road_Curvature,Junction_Type,Traffic_Signal,Pedestrian_Crossing,Rain,Fog,Temperature_C,Accident_Occurred
Highway,Clear,3.4,Muddy,Dark - Unlit,97.3,High,Truck,35,1,No,Yes,Afternoon,Tuesday,Urban,Straight,No Junction,No,Yes,No,Yes,44.1,1
Residential,Windy,2.4,Dry,Dusk/Dawn,53.7,Medium,Motorcycle,73,17,No,Yes,Night,Friday,Urban,Straight,No Junction,No,No,Yes,No,8.3,0
Urban Road,Clear,9.7,Dry,Dark - Lit,55.5,Low,Car,32,1,No,No,Evening,Tuesday,Rural,Slight Curve,T-Junction,No,No,No,Yes,4.2,0
Urban Road,Rainy,7.3,Wet,Dark - Unlit,73.6,Medium,Truck,32,25,Yes,Yes,Morning,Saturday,Rural,Slight Curve,Crossroad,No,No,No,No,14.8,1
Rural Road,Clear,3.6,Dry,Daylight,40.3,Medium,Car,31,11,No,Yes,Night,Sunday,Urban,Straight,Roundabout,Yes,Yes,No,No,25.1,0
Residential,Rainy,1.1,Icy,Dark - Lit,67.3,High,Truck,52,36,No,Yes,Afternoon,Tuesday,Urban,Straight,Roundabout,Yes,No,No,No,-4.1,1
Residential,Clear,5.3,Wet,Dark - Unlit,115.8,Medium,Truck,57,25,No,Yes,Evening,Friday,Urban,Straight,T-Junction,No,No,No,No,-7.1,1
Urban Road,Clear,2.3,Wet,Dusk/Dawn,136.3,Low,Truck,68,35,No,No,Morning,Friday,Rural,Straight,T-Junction,Yes,No,No,No,-2.4,0
Urban Road,Clear,5.5,Muddy,Daylight,66.6,Low,Bus,60,15,No,Yes,Evening,Monday,Rural,Sharp Curve,No Junction,Yes,No,No,No,-0.8,0
Residential,Windy,8.4,Dry,Dark - Lit,52.7,High,Motorcycle,53,13,Yes,Yes,Night,Thursday,Urban,Slight Curve,No Junction,Yes,No,No,No,-7.8,0
Highway,Clear,6.2,Wet,Dark - Lit,136.6,High,Bus,64,1,No,Yes,Night,Saturday,Rural,Straight,T-Junction,Yes,No,No,No,22.6,1
Residential,Windy,6.4,Wet,Daylight,144.7,High,Bus,73,20,Yes,No,Evening,Saturday,Urban,Straight,No Junction,Yes,Yes,Yes,No,21.9,1
Residential,Snowy,5.5,Dry,Dusk/Dawn,77.4,Low,Truck,59,6,No,Yes,Evening,Friday,Rural,Straight,Crossroad,Yes,No,No,No,16.4,0
Urban Road,Clear,9.3,Dry,Daylight,23.8,High,Motorcycle,37,10,Yes,Yes,Afternoon,Thursday,Rural,Straight,No Junction,No,Yes,No,No,-2.8,0
Urban Road,Snowy,9.3,Icy,Dusk/Dawn,117.3,Low,Motorcycle,28,28,No,No,Night,Sunday,Urban,Sharp Curve,Crossroad,No,No,No,No,42.1,1
Highway,Clear,5.2,Wet,Dark - Lit,129.8,Medium,Motorcycle,74,36,No,Yes,Morning,Sunday,Urban,Slight Curve,T-Junction,No,No,No,No,28.8,1
Highway,Windy,3.2,Icy,Daylight,22.5,High,Motorcycle,58,38,No,Yes,Evening,Monday,Rural,Straight,No Junction,No,Yes,Yes,No,-4.4,0
Rural Road,Rainy,4.7,Dry,Dusk/Dawn,103.3,High,Truck,71,27,No,Yes,Morning,Saturday,Urban,Straight,Roundabout,Yes,No,No,No,21.7,0
Residential,Clear,2.0,Dry,Dusk/Dawn,102.4,High,Motorcycle,34,39,No,Yes,Evening,Saturday,Rural,Slight Curve,No Junction,Yes,Yes,No,No,-7.8,0
Urban Road,Clear,6.4,Dry,Dark - Unlit,73.0,Low,Car,58,3,No,Yes,Night,Tuesday,Rural,Straight,Crossroad,No,No,No,No,12.3,0
Highway,Clear,5.1,Dry,Dusk/Dawn,125.0,Medium,Car,42,3,Yes,No,Evening,Saturday,Urban,Straight,Crossroad,Yes,Yes,Yes,No,34.4,0
Rural Road,Windy,1.2,Muddy,Daylight,79.9,High,Bus,46,26,No,Yes,Afternoon,Friday,Urban,Straight,T-Junction,No,Yes,No,No,19.2,0
Rural Road,Clear,2.1,Dry,Daylight,114.7,Medium,Truck,40,5,No,Yes,Morning,Saturday,Rural,Straight,Roundabout,No,No,Yes,No,-4.7,1
Urban Road,Foggy,4.9,Muddy,Dusk/Dawn,92.4,High,Bus,26,33,No,Yes,Evening,Friday,Urban,Straight,T-Junction,Yes,Yes,No,No,36.6,1
Urban Road,Clear,8.9,Muddy,Daylight,54.8,Low,Bus,73,39,No,No,Night,Monday,Rural,Straight,T-Junction,Yes,No,No,No,-5.9,0
Rural Road,Windy,5.8,Muddy,Dark - Lit,104.9,Medium,Motorcycle,42,17,No,Yes,Evening,Thursday,Urban,Straight,T-Junction,No,Yes,No,Yes,16.8,0
Highway,Clear,6.9,Dry,Dark - Lit,123.2,Medium,Car,58,29,No,Yes,Morning,Thursday,Rural,Straight,Roundabout,No,No,Yes,No,18.3,0
Rural Road,Rainy,3.5,Muddy,Daylight,156.3,High,Car,40,32,No,No,Night,Saturday,Urban,Straight,Roundabout,Yes,No,No,No,32.5,1
Residential,Rainy,5.8,Dry,Dusk/Dawn,73.2,Medium,Motorcycle,71,19,No,No,Evening,Wednesday,Rural,Straight,Crossroad,No,Yes,Yes,No,44.2,0
Residential,Foggy,4.6,Dry,Dark - Lit,29.0,Low,Motorcycle,19,35,No,Yes,Afternoon,Tuesday,Urban,Straight,No Junction,No,No,No,No,11.9,0
Urban Road,Clear,6.7,Dry,Dusk/Dawn,158.3,Medium,Truck,62,4,No,Yes,Afternoon,Wednesday,Rural,Straight,No Junction,Yes,No,Yes,No,25.2,0
Highway,Clear,0.7,Muddy,Daylight,107.3,Medium,Car,72,34,No,Yes,Afternoon,Thursday,Urban,Slight Curve,T-Junction,No,No,No,No,18.6,1
Highway,Clear,5.0,Dry,Dark - Unlit,152.5,Medium,Bus,18,18,No,Yes,Night,Wednesday,Rural,Straight,Roundabout,No,Yes,No,No,-5.6,1
Residential,Foggy,3.1,Dry,Dark - Lit,34.5,Medium,Bus,55,11,No,Yes,Evening,Thursday,Urban,Sharp Curve,No Junction,No,Yes,No,No,33.9,0
Rural Road,Clear,3.4,Dry,Daylight,67.9,High,Truck,23,25,No,Yes,Night,Friday,Rural,Straight,T-Junction,Yes,No,Yes,No,18.8,1
Urban Road,Rainy,9.6,Dry,Dark - Lit,38.8,High,Car,65,18,No,Yes,Afternoon,Sunday,Urban,Slight Curve,Roundabout,No,Yes,No,No,23.4,0
Rural Road,Clear,2.0,Dry,Dusk/Dawn,137.0,Medium,Motorcycle,61,10,No,Yes,Night,Sunday,Urban,Straight,No Junction,No,No,No,No,8.6,1
Rural Road,Windy,3.3,Icy,Dark - Unlit,143.2,Medium,Bus,32,19,No,No,Evening,Monday,Rural,Straight,No Junction,No,No,No,No,40.3,1
Rural Road,Windy,5.2,Wet,Dark - Unlit,90.2,Low,Car,24,8,No,No,Afternoon,Saturday,Urban,Straight,No Junction,Yes,No,No,No,27.8,0
Highway,Rainy,8.7,Muddy,Daylight,46.1,High,Car,19,19,No,Yes,Night,Wednesday,Urban,Straight,No Junction,Yes,No,No,No,9.6,0
Residential,Clear,4.3,Wet,Dark - Lit,37.8,High,Car,47,26,No,Yes,Morning,Saturday,Rural,Straight,Roundabout,Yes,No,Yes,No,17.3,0
Highway,Clear,7.5,Muddy,Dark - Unlit,102.3,High,Motorcycle,46,4,No,No,Afternoon,Friday,Rural,Straight,Roundabout,No,Yes,Yes,Yes,6.8,1
Residential,Clear,8.6,Dry,Dark - Lit,90.9,Medium,Bus,29,9,No,Yes,Morning,Sunday,Urban,Straight,Crossroad,No,Yes,No,No,25.1,0
Urban Road,Clear,3.2,Wet,Dusk/Dawn,117.3,High,Motorcycle,69,8,No,Yes,Afternoon,Friday,Urban,Straight,No Junction,Yes,No,No,No,34.5,0
Urban Road,Foggy,4.0,Wet,Dusk/Dawn,62.7,Low,Car,51,24,No,No,Evening,Monday,Urban,Sharp Curve,Crossroad,Yes,No,No,No,8.9,1
Rural Road,Rainy,3.7,Dry,Daylight,76.3,Low,Car,47,12,No,Yes,Night,Monday,Urban,Straight,Roundabout,Yes,Yes,Yes,No,35.0,0
Residential,Windy,8.4,Icy,Dark - Unlit,23.0,Low,Bus,53,31,No,Yes,Morning,Sunday,Rural,Slight Curve,Roundabout,No,Yes,No,No,41.0,0
Residential,Clear,0.6,Wet,Dark - Unlit,105.4,Low,Bus,52,7,No,No,Morning,Friday,Urban,Straight,Roundabout,No,No,No,No,11.7,1
Residential,Foggy,3.2,Icy,Dark - Lit,79.2,Low,Motorcycle,19,26,No,Yes,Night,Saturday,Rural,Straight,Crossroad,No,No,No,No,2.7,1
Rural Road,Rainy,6.9,Wet,Dusk/Dawn,148.8,High,Motorcycle,67,21,No,Yes,Evening,Friday,Urban,Straight,Crossroad,No,No,No,No,41.9,1
Rural Road,Rainy,5.7,Dry,Dark - Unlit,109.9,Medium,Motorcycle,20,27,No,No,Morning,Wednesday,Urban,Sharp Curve,No Junction,No,Yes,No,No,-7.0,1
Urban Road,Clear,4.5,Wet,Daylight,75.8,Medium,Car,59,17,No,Yes,Night,Wednesday,Urban,Slight Curve,T-Junction,Yes,No,No,No,16.6,0
Highway,Rainy,5.5,Dry,Daylight,56.9,Medium,Bus,29,22,No,Yes,Morning,Sunday,Rural,Straight,T-Junction,No,No,Yes,No,32.9,0
Residential,Rainy,2.1,Wet,Dark - Unlit,146.7,Medium,Truck,21,30,No,Yes,Evening,Tuesday,Urban,Straight,Crossroad,Yes,Yes,Yes,No,-7.5,1
Residential,Foggy,4.4,Wet,Daylight,22.3,High,Bus,72,33,No,Yes,Morning,Sunday,Urban,Straight,Roundabout,Yes,Yes,No,No,25.2,0
Highway,Windy,5.1,Muddy,Dark - Unlit,65.8,High,Bus,69,6,No,Yes,Morning,Tuesday,Urban,Straight,Crossroad,Yes,Yes,No,No,36.1,0
Residential,Clear,9.0,Dry,Dark - Unlit,152.1,High,Bus,24,4,Yes,Yes,Evening,Friday,Urban,Slight Curve,Roundabout,No,No,No,No,6.4,1
Rural Road,Clear,2.8,Dry,Dark - Unlit,111.6,Low,Truck,37,20,No,Yes,Morning,Tuesday,Urban,Straight,No Junction,Yes,Yes,No,No,7.1,0
Rural Road,Rainy,8.7,Dry,Dark - Unlit,94.6,Medium,Motorcycle,36,5,No,No,Night,Friday,Rural,Straight,Roundabout,No,No,Yes,No,-8.1,1
Residential,Rainy,6.5,Dry,Dark - Lit,48.5,High,Truck,25,34,No,No,Evening,Monday,Urban,Straight,T-Junction,Yes,No,No,No,20.3,0
Rural Road,Clear,0.4,Icy,Dark - Unlit,136.7,High,Bus,20,22,No,Yes,Morning,Monday,Urban,Straight,Roundabout,Yes,No,Yes,No,-6.6,1
Rural Road,Foggy,7.3,Icy,Daylight,48.6,High,Bus,44,2,Yes,Yes,Evening,Wednesday,Rural,Straight,Crossroad,No,Yes,No,No,-9.9,1
Residential,Windy,0.5,Wet,Dusk/Dawn,54.8,Medium,Car,32,32,No,Yes,Afternoon,Saturday,Rural,Straight,T-Junction,No,No,No,No,-3.0,0
Urban Road,Windy,10.0,Icy,Dark - Lit,46.9,Medium,Bus,25,37,No,Yes,Night,Thursday,Rural,Slight Curve,Roundabout,Yes,Yes,No,No,13.9,0
Highway,Clear,8.8,Dry,Dusk/Dawn,42.1,Low,Truck,35,22,No,Yes,Morning,Sunday,Rural,Straight,T-Junction,Yes,Yes,No,No,31.1,0
Rural Road,Windy,3.1,Dry,Dusk/Dawn,153.5,Low,Truck,46,15,No,Yes,Night,Sunday,Urban,Slight Curve,Roundabout,No,Yes,Yes,No,27.1,1
Urban Road,Foggy,2.7,Dry,Dusk/Dawn,104.3,Low,Truck,63,24,No,No,Morning,Saturday,Rural,Straight,No Junction,Yes,Yes,No,No,7.2,0
Rural Road,Rainy,3.9,Icy,Dusk/Dawn,109.3,Medium,Motorcycle,68,15,No,Yes,Afternoon,Friday,Rural,Slight Curve,Crossroad,No,No,No,No,7.7,1
Rural Road,Rainy,3.7,Wet,Dusk/Dawn,153.6,Low,Car,53,24,No,No,Afternoon,Saturday,Rural,Sharp Curve,No Junction,No,Yes,No,No,26.2,1
Highway,Snowy,3.8,Wet,Daylight,52.3,Low,Motorcycle,20,6,No,Yes,Night,Wednesday,Urban,Straight,Roundabout,Yes,No,Yes,Yes,28.9,0
Rural Road,Rainy,3.3,Dry,Dark - Unlit,20.8,High,Truck,71,7,No,No,Night,Tuesday,Urban,Straight,Roundabout,No,No,Yes,No,29.8,1
Highway,Clear,6.3,Dry,Daylight,103.8,Medium,Motorcycle,26,2,Yes,No,Evening,Friday,Rural,Straight,T-Junction,Yes,Yes,Yes,No,-1.3,1
Highway,Rainy,1.8,Muddy,Dark - Lit,91.1,Low,Car,27,4,No,Yes,Morning,Wednesday,Urban,Straight,T-Junction,Yes,No,No,No,-6.4,0
Highway,Rainy,8.5,Dry,Daylight,86.9,Low,Car,57,18,No,Yes,Morning,Tuesday,Urban,Straight,Roundabout,No,No,No,No,17.8,0
Urban Road,Clear,8.2,Wet,Dark - Lit,28.7,Medium,Car,37,6,No,Yes,Night,Friday,Urban,Sharp Curve,Roundabout,No,Yes,No,No,11.9,1
Residential,Windy,4.9,Dry,Dark - Unlit,83.6,Low,Car,19,21,No,Yes,Evening,Wednesday,Rural,Slight Curve,Crossroad,Yes,Yes,No,No,41.1,0
Urban Road,Foggy,8.6,Dry,Dusk/Dawn,60.3,Medium,Truck,18,25,No,Yes,Afternoon,Thursday,Urban,Straight,Roundabout,Yes,No,Yes,Yes,-9.7,0
Residential,Rainy,2.6,Wet,Dark - Unlit,58.4,Medium,Bus,44,24,Yes,Yes,Morning,Wednesday,Urban,Slight Curve,Crossroad,No,No,No,No,34.5,0
Residential,Clear,0.4,Dry,Daylight,51.1,Medium,Truck,21,5,No,Yes,Afternoon,Friday,Urban,Slight Curve,No Junction,Yes,No,No,No,44.6,0
Highway,Rainy,6.3,Wet,Daylight,66.6,Low,Truck,65,4,No,Yes,Evening,Tuesday,Rural,Straight,No Junction,Yes,No,No,No,36.8,0
Rural Road,Clear,4.7,Wet,Dark - Unlit,69.4,Low,Truck,54,37,No,Yes,Morning,Friday,Urban,Straight,Roundabout,Yes,Yes,Yes,No,34.8,0
Highway,Clear,5.8,Dry,Dark - Unlit,63.2,Low,Truck,49,37,No,No,Evening,Sunday,Rural,Straight,Roundabout,No,Yes,No,No,-8.8,0
Rural Road,Rainy,9.0,Wet,Daylight,157.0,Medium,Motorcycle,35,21,Yes,Yes,Evening,Friday,Urban,Straight,No Junction,Yes,Yes,No,No,37.6,1
Residential,Clear,9.7,Wet,Dark - Unlit,150.6,Low,Car,31,30,No,Yes,Morning,Wednesday,Rural,Straight,Crossroad,Yes,Yes,No,No,22.1,0
Highway,Rainy,6.4,Dry,Dark - Lit,100.4,High,Bus,62,21,Yes,Yes,Afternoon,Friday,Urban,Straight,Crossroad,No,No,No,Yes,26.0,1
Rural Road,Clear,7.7,Wet,Dark - Lit,157.3,Medium,Bus,65,10,No,Yes,Afternoon,Saturday,Urban,Straight,Roundabout,No,No,No,No,11.8,1
Urban Road,Clear,1.0,Wet,Daylight,158.8,Low,Bus,32,31,Yes,Yes,Evening,Monday,Rural,Straight,Roundabout,Yes,No,No,No,41.9,1
Rural Road,Clear,1.8,Dry,Daylight,69.8,Medium,Truck,68,16,No,Yes,Night,Sunday,Rural,Straight,Crossroad,Yes,No,Yes,No,18.8,0
Highway,Windy,7.4,Muddy,Dark - Unlit,82.3,Low,Car,21,21,No,Yes,Evening,Thursday,Urban,Straight,T-Junction,No,No,No,No,24.0,1
Urban Road,Rainy,4.4,Dry,Dark - Unlit,154.3,Medium,Car,36,15,No,Yes,Afternoon,Tuesday,Urban,Slight Curve,No Junction,No,Yes,No,No,1.5,1
Rural Road,Foggy,4.6,Icy,Dusk/Dawn,105.2,High,Bus,41,14,No,Yes,Evening,Thursday,Urban,Straight,Roundabout,No,Yes,No,No,20.7,1
Rural Road,Clear,3.2,Icy,Dark - Lit,49.8,Medium,Bus,47,7,No,Yes,Evening,Sunday,Urban,Slight Curve,No Junction,Yes,No,No,No,2.1,0
Rural Road,Clear,6.2,Dry,Daylight,116.5,Medium,Truck,30,2,No,Yes,Morning,Saturday,Rural,Sharp Curve,Crossroad,Yes,No,Yes,No,-3.7,1
Rural Road,Windy,2.0,Dry,Daylight,48.8,Medium,Bus,28,12,No,Yes,Evening,Sunday,Urban,Straight,Crossroad,No,Yes,No,No,18.3,0
Rural Road,Clear,6.3,Dry,Daylight,67.5,Low,Truck,45,29,No,Yes,Night,Wednesday,Urban,Sharp Curve,No Junction,No,No,No,No,36.5,0
Urban Road,Clear,1.9,Dry,Daylight,51.9,Medium,Bus,67,27,Yes,Yes,Night,Wednesday,Rural,Straight,Roundabout,No,Yes,No,Yes,38.3,0
Residential,Rainy,0.8,Icy,Dusk/Dawn,54.3,Low,Car,74,8,Yes,Yes,Night,Saturday,Rural,Straight,Roundabout,Yes,No,No,No,41.5,1
Urban Road,Clear,3.4,Wet,Dark - Lit,20.7,Medium,Car,28,11,No,Yes,Night,Sunday,Urban,Slight Curve,T-Junction,Yes,Yes,Yes,No,41.5,0
Urban Road,Snowy,2.5,Dry,Dusk/Dawn,143.3,Low,Car,71,24,No,Yes,Evening,Monday,Rural,Straight,No Junction,Yes,No,No,No,43.3,1
Urban Road,Rainy,8.9,Wet,Dark - Lit,61.4,Low,Motorcycle,18,36,No,Yes,Night,Wednesday,Rural,Straight,Roundabout,No,Yes,No,No,29.7,0
Residential,Clear,0.7,Muddy,Daylight,32.1,Low,Bus,64,20,No,Yes,Night,Sunday,Urban,Slight Curve,Crossroad,No,No,Yes,Yes,-3.9,0
Highway,Clear,1.9,Wet,Dark - Lit,32.2,Low,Motorcycle,73,38,Yes,No,Morning,Saturday,Rural,Straight,No Junction,No,No,No,No,24.0,0
Residential,Clear,5.6,Wet,Daylight,97.8,Medium,Car,59,38,No,Yes,Afternoon,Wednesday,Rural,Sharp Curve,Roundabout,Yes,Yes,Yes,No,23.5,1
Urban Road,Windy,4.9,Wet,Dusk/Dawn,159.0,Medium,Bus,71,18,No,Yes,Morning,Sunday,Rural,Sharp Curve,No Junction,No,No,No,No,-4.1,1
Rural Road,Foggy,0.6,Dry,Dark - Lit,40.3,Low,Motorcycle,21,7,No,Yes,Night,Sunday,Rural,Straight,No Junction,No,No,Yes,No,28.7,1
Rural Road,Clear,0.3,Dry,Dark - Unlit,33.9,Low,Car,55,37,No,Yes,Afternoon,Sunday,Urban,Slight Curve,T-Junction,Yes,Yes,No,No,12.8,0
Urban Road,Clear,9.9,Wet,Dark - Lit,81.4,Low,Car,51,2,No,Yes,Morning,Wednesday,Rural,Sharp Curve,Roundabout,Yes,No,Yes,No,-6.1,1
Rural Road,Foggy,6.7,Dry,Daylight,98.9,High,Bus,66,21,No,No,Evening,Thursday,Rural,Sharp Curve,Crossroad,No,No,Yes,No,41.4,1
Urban Road,Rainy,3.8,Wet,Dark - Unlit,61.2,High,Bus,29,0,Yes,Yes,Afternoon,Monday,Rural,Straight,No Junction,No,No,No,No,0.5,1
Rural Road,Clear,4.8,Wet,Daylight,62.4,Medium,Truck,71,37,No,Yes,Morning,Friday,Rural,Straight,T-Junction,No,No,No,No,-3.2,0
Residential,Clear,2.8,Wet,Dark - Unlit,79.4,High,Bus,41,18,No,No,Morning,Tuesday,Urban,Straight,No Junction,Yes,Yes,No,No,1.1,0
Highway,Clear,3.6,Dry,Dark - Unlit,64.0,High,Car,54,20,No,No,Night,Saturday,Urban,Sharp Curve,T-Junction,Yes,No,No,No,32.0,0
Highway,Foggy,6.6,Dry,Dark - Lit,148.1,Low,Truck,73,12,No,Yes,Afternoon,Monday,Rural,Straight,Crossroad,Yes,No,No,No,32.4,1
Residential,Windy,8.9,Dry,Dark - Lit,25.9,Low,Truck,49,26,No,Yes,Night,Thursday,Rural,Straight,Crossroad,Yes,Yes,No,Yes,-5.3,0
Residential,Clear,2.0,Dry,Dark - Unlit,52.8,High,Bus,36,16,No,No,Afternoon,Saturday,Urban,Straight,T-Junction,Yes,No,No,No,18.2,0
Urban Road,Rainy,8.4,Dry,Dark - Unlit,133.2,High,Car,46,19,No,Yes,Night,Friday,Rural,Straight,T-Junction,Yes,No,Yes,No,28.0,1
Urban Road,Clear,1.4,Wet,Dark - Unlit,136.8,High,Motorcycle,55,29,No,Yes,Afternoon,Friday,Urban,Straight,No Junction,No,Yes,No,No,27.6,1
Urban Road,Clear,2.3,Dry,Daylight,35.6,Low,Car,66,37,No,No,Afternoon,Saturday,Urban,Straight,Roundabout,Yes,Yes,No,No,26.9,0
Rural Road,Clear,0.6,Dry,Dark - Lit,156.3,Medium,Car,46,10,No,No,Morning,Tuesday,Rural,Straight,T-Junction,Yes,Yes,No,No,13.3,0
Urban Road,Snowy,1.6,Dry,Daylight,117.1,High,Bus,36,26,Yes,Yes,Night,Sunday,Rural,Sharp Curve,Crossroad,No,No,No,No,12.5,1
Residential,Rainy,9.2,Dry,Dark - Lit,58.2,Medium,Motorcycle,37,37,No,Yes,Afternoon,Friday,Rural,Straight,Crossroad,Yes,Yes,No,No,40.6,0
Highway,Rainy,4.7,Dry,Dusk/Dawn,83.8,Medium,Truck,70,27,No,Yes,Afternoon,Monday,Urban,Straight,Crossroad,No,Yes,Yes,No,42.4,0
Rural Road,Clear,1.0,Dry,Daylight,61.6,High,Motorcycle,20,25,No,Yes,Afternoon,Friday,Urban,Slight Curve,Crossroad,No,Yes,No,No,-0.3,0
Urban Road,Clear,9.6,Muddy,Dark - Lit,41.0,Medium,Bus,57,38,No,Yes,Evening,Saturday,Rural,Straight,Crossroad,Yes,No,No,No,44.8,0
Rural Road,Clear,8.8,Dry,Dark - Unlit,60.8,Low,Car,22,32,No,No,Afternoon,Thursday,Rural,Straight,Crossroad,Yes,No,No,No,-2.4,0
Rural Road,Foggy,7.6,Wet,Dark - Unlit,101.2,High,Car,40,31,No,Yes,Evening,Friday,Urban,Sharp Curve,Crossroad,No,No,No,No,33.3,1
Urban Road,Clear,9.3,Muddy,Dark - Lit,135.6,High,Motorcycle,22,24,Yes,No,Afternoon,Thursday,Rural,Straight,No Junction,Yes,No,Yes,No,-4.3,1
Rural Road,Foggy,2.4,Dry,Dark - Unlit,70.9,High,Motorcycle,47,23,Yes,Yes,Afternoon,Friday,Urban,Slight Curve,Roundabout,Yes,No,Yes,No,24.3,1
Highway,Clear,8.4,Icy,Dark - Unlit,68.7,High,Bus,49,39,No,No,Morning,Tuesday,Rural,Sharp Curve,Roundabout,No,No,No,Yes,20.5,1
Residential,Clear,7.0,Dry,Dusk/Dawn,85.5,Low,Motorcycle,41,26,No,No,Morning,Monday,Urban,Straight,Crossroad,Yes,No,No,No,44.9,0
Residential,Rainy,8.7,Dry,Dusk/Dawn,110.2,Low,Bus,66,21,No,Yes,Morning,Thursday,Urban,Straight,T-Junction,Yes,No,No,No,18.5,0
Highway,Clear,8.0,Dry,Dusk/Dawn,125.2,Medium,Truck,68,19,Yes,No,Morning,Friday,Rural,Slight Curve,T-Junction,Yes,No,Yes,No,24.9,1
Rural Road,Clear,3.6,Dry,Daylight,65.8,High,Motorcycle,68,32,Yes,No,Night,Wednesday,Rural,Straight,Roundabout,Yes,Yes,Yes,No,29.6,0
Urban Road,Clear,7.8,Dry,Dusk/Dawn,102.1,High,Car,59,4,No,No,Afternoon,Wednesday,Rural,Sharp Curve,No Junction,No,No,Yes,No,29.9,0
Rural Road,Foggy,2.8,Dry,Dusk/Dawn,74.5,Medium,Motorcycle,52,28,No,Yes,Evening,Sunday,Urban,Sharp Curve,Crossroad,Yes,No,No,No,25.1,1
Highway,Foggy,3.4,Wet,Dusk/Dawn,120.3,Low,Car,49,4,No,No,Afternoon,Monday,Rural,Straight,Crossroad,No,Yes,Yes,No,33.2,1
Rural Road,Clear,1.3,Muddy,Dark - Lit,43.1,High,Truck,71,38,No,Yes,Afternoon,Sunday,Urban,Straight,Crossroad,No,No,Yes,No,30.3,0
Residential,Rainy,9.4,Dry,Dark - Unlit,56.0,Medium,Truck,74,16,No,Yes,Afternoon,Saturday,Urban,Straight,Crossroad,No,Yes,No,Yes,10.3,0
Rural Road,Clear,3.1,Dry,Dark - Lit,79.6,Low,Motorcycle,62,28,No,Yes,Morning,Thursday,Urban,Straight,Roundabout,No,No,Yes,No,-3.3,0
Highway,Clear,5.3,Dry,Dusk/Dawn,144.5,Medium,Bus,65,10,No,Yes,Afternoon,Sunday,Urban,Straight,Crossroad,Yes,No,No,No,39.7,1
Residential,Clear,4.0,Dry,Daylight,100.3,Medium,Car,61,21,No,Yes,Afternoon,Tuesday,Rural,Straight,Crossroad,Yes,Yes,Yes,No,-9.5,0
Rural Road,Windy,9.6,Wet,Dark - Lit,155.2,Low,Truck,39,30,Yes,Yes,Night,Saturday,Urban,Straight,Roundabout,No,No,No,No,1.2,1
Rural Road,Clear,3.5,Dry,Dusk/Dawn,34.5,High,Motorcycle,38,38,No,No,Night,Tuesday,Rural,Straight,No Junction,No,Yes,No,No,20.3,1
Residential,Clear,7.8,Dry,Daylight,84.4,Low,Truck,45,0,No,Yes,Evening,Monday,Rural,Straight,No Junction,No,No,No,No,33.3,0
Urban Road,Clear,8.6,Wet,Daylight,78.7,High,Motorcycle,66,14,No,Yes,Night,Tuesday,Urban,Straight,Roundabout,No,Yes,No,No,1.7,0
Residential,Clear,4.5,Icy,Daylight,104.0,Low,Car,51,18,No,No,Morning,Friday,Urban,Straight,Roundabout,No,No,Yes,No,24.9,1
Urban Road,Rainy,3.9,Dry,Dark - Unlit,133.7,High,Motorcycle,33,9,No,Yes,Night,Saturday,Urban,Straight,T-Junction,Yes,No,Yes,No,10.8,1
Highway,Clear,7.5,Wet,Daylight,137.8,High,Car,28,8,No,Yes,Evening,Monday,Urban,Slight Curve,T-Junction,Yes,No,No,No,-9.8,0
Highway,Clear,9.1,Dry,Dusk/Dawn,113.8,Medium,Truck,50,12,No,Yes,Evening,Saturday,Rural,Slight Curve,T-Junction,No,No,No,No,29.3,0
Residential,Rainy,7.6,Dry,Dark - Lit,109.8,Medium,Car,61,25,No,Yes,Night,Thursday,Urban,Straight,Roundabout,Yes,No,No,Yes,24.4,1
Residential,Clear,2.4,Dry,Dark - Lit,152.9,High,Car,55,5,No,No,Afternoon,Tuesday,Urban,Straight,Crossroad,Yes,Yes,No,No,-6.9,1
Highway,Foggy,8.9,Dry,Dusk/Dawn,73.7,Low,Bus,36,39,No,No,Evening,Friday,Urban,Slight Curve,Roundabout,No,No,No,No,37.8,0
Urban Road,Rainy,4.0,Muddy,Dark - Unlit,136.6,High,Truck,45,1,No,No,Night,Sunday,Urban,Slight Curve,Roundabout,No,No,No,No,-0.6,1
Highway,Clear,5.8,Dry,Dark - Unlit,149.0,Low,Car,46,28,Yes,No,Night,Saturday,Urban,Sharp Curve,Roundabout,Yes,No,No,No,34.2,1
Residential,Foggy,8.3,Dry,Daylight,88.8,High,Bus,54,11,Yes,Yes,Night,Saturday,Rural,Straight,Roundabout,No,No,No,No,12.1,1
Highway,Clear,2.0,Dry,Dusk/Dawn,122.1,Low,Bus,71,22,No,No,Evening,Sunday,Urban,Straight,No Junction,Yes,No,No,No,2.0,1
Residential,Rainy,7.9,Dry,Daylight,72.8,Medium,Car,70,2,No,Yes,Afternoon,Tuesday,Urban,Straight,Roundabout,Yes,Yes,No,No,22.2,0
Residential,Clear,6.0,Wet,Daylight,42.2,Low,Motorcycle,20,10,Yes,No,Morning,Monday,Rural,Straight,No Junction,Yes,No,No,No,14.8,0
